,tag,embedding,similarity
18,Control-serigrafia-etiquetas,"[-2.17403639e-02  5.93105610e-03 -1.68970111e-03 ...  1.26642070e-03
 -6.94243936e-05 -8.87948181e-03]",0.7801817018622127
15,Calidad-falta-sobretapa,"[-0.00551963  0.00076212  0.00872299 ... -0.00193257 -0.00862442
 -0.01053236]",0.7800744308340983
0,Brake-test,"[-0.01233141 -0.00556287  0.00086491 ... -0.01215726 -0.00386822
 -0.00427346]",0.7799069882294487
4,alimentación,"[-0.01235426 -0.01049853  0.00643018 ...  0.00449659  0.00689736
  0.02771922]",0.77981002081254
11,Defecto-tortita,"[-0.02911509  0.00145795  0.01809237 ...  0.01477341 -0.0120346
 -0.02196449]",0.779781668690512
13,Defecto-de-manchas,"[-0.02879236  0.01166541  0.02435155 ...  0.00729751  0.00580951
 -0.00220549]",0.7796187144223219
0,termosellado,"[-0.03100243 -0.00303972  0.00060992 ...  0.01205574 -0.0149923
 -0.02303863]",0.7787047460465895
4,Car-wheel,"[-0.006491    0.00356     0.00894447 ...  0.00970192 -0.01705904
 -0.03417077]",0.778447002558313
1,Defectos-etiqueta-jeringa,"[-0.04075544  0.01247741  0.00352191 ... -0.01210741 -0.01869214
 -0.00069076]",0.7780459931825859
5,Alimentacion,"[ 0.00048121 -0.00156761  0.00958747 ...  0.00440462 -0.00935783
  0.03378261]",0.7779387709672348
5,Defectos-textil,"[-0.02680869  0.00402734  0.00670553 ...  0.01508912 -0.00187439
 -0.00498048]",0.7778319131118665
5,trevista,"[-0.02121487 -0.02604744  0.02821469 ...  0.01609961  0.0036177
 -0.0039374 ]",0.7776500598922479
9,Calidad-envase,"[-0.01394494 -0.0055713   0.0153728  ... -0.00751959 -0.03432191
 -0.00884737]",0.7775035499902612
4,Inspección-Bandas-Extruidas,"[-0.03658479  0.00705484  0.01312674 ... -0.00042524 -0.01128635
  0.01232506]",0.7774995577227442
12,Densidad-cepillos,"[-0.00056777  0.02468332  0.01611834 ...  0.00930682 -0.02302428
 -0.00422179]",0.7774756168090246
0,Defecto-envase,"[-0.02336757 -0.0039179   0.01036562 ...  0.00412095 -0.0252716
 -0.01692318]",0.7770533231222003
11,SKF,"[ 0.00467417 -0.01903054  0.00695783 ...  0.00326357 -0.02037937
 -0.01607914]",0.7769615690065489
16,Recuento-botellas,"[-0.02007702 -0.02384312  0.01237906 ... -0.01473287 -0.01613853
 -0.00517838]",0.7769385507481913
13,Control-calidad-panes,"[ 0.0027516  -0.00795333  0.0237136  ...  0.01937796 -0.00694609
 -0.01667341]",0.7765587348172436
12,Cuerpo-botella,"[-0.03249037 -0.01094726  0.00888512 ... -0.01762437 -0.02885675
  0.00841434]",0.776521273620596
6,estampación,"[-0.03826902 -0.00154851 -0.01069823 ...  0.00938314  0.00902149
 -0.00285045]",0.7764339582645993
15,Plástico-roto,"[-0.03991823 -0.00314399  0.01612441 ...  0.02942605 -0.01665701
 -0.02870704]",0.7764166241834836
9,empresa,"[-0.00960576 -0.05056239 -0.00919379 ...  0.00618984 -0.00457286
  0.00300051]",0.7764112090284491
4,Modelo-dorado,"[-0.03665251  0.00116798  0.00874814 ...  0.00086511 -0.01752306
  0.01359409]",0.7763229120713412
14,Defectos-superficiales-negro,"[-0.01756442  0.00145589  0.02500788 ... -0.01192158 -0.01315323
 -0.00259216]",0.7762903091283483
7,ds1000,"[-0.00914148 -0.00196697 -0.03031121 ... -0.02308011 -0.00903535
 -0.00774054]",0.7761333185428172
1,plasticos-gonzalez,"[-0.02179482  0.01331218  0.01788716 ... -0.00562758 -0.0149289
 -0.00774652]",0.7758343572057109
0,Electrónica,"[-0.01351237  0.00238824  0.00960463 ... -0.00644615  0.0013564
  0.00306644]",0.7758040795791565
3,medicina,"[ 0.00109246  0.01151812  0.03596676 ...  0.00222306 -0.01930959
 -0.00660452]",0.7757198650113611
2,Modelo-negro,"[-0.0287223  -0.01266656  0.0131479  ...  0.01301603 -0.021034
  0.00413427]",0.7754640107885536
